steering,img_path
-0.052757304,10-10-246-184-47-252-150-71_130_76.png
-0.06407724,10-10-246-184-47-252-150-71_130_121.png
-0.0765058,10-10-246-184-47-252-150-71_130_136.png
-0.065553956,10-10-246-184-47-252-150-71_219_66.png
-0.036607444,10-10-246-184-47-252-150-71_219_96.png
-0.075402826,10-10-246-184-47-252-150-71_219_171.png
-0.06199334,10-10-246-184-47-252-150-71_188_66.png
-0.041907378,10-10-246-184-47-252-150-71_188_96.png
-0.10458216,10-10-246-184-47-252-150-71_188_171.png
-0.056747217,10-10-246-184-47-252-150-71_167_66.png
-0.038682166,10-10-246-184-47-252-150-71_167_96.png
-0.10161571,10-10-246-184-47-252-150-71_167_171.png
-0.05205474,10-10-246-184-47-252-150-71_59_66.png
-0.04382716,10-10-246-184-47-252-150-71_59_96.png
-0.1071729,10-10-246-184-47-252-150-71_59_156.png
-0.06202785,10-10-246-184-47-252-150-71_171_66.png
-0.036734734,10-10-246-184-47-252-150-71_171_96.png
-0.08949304,10-10-246-184-47-252-150-71_171_171.png
-0.05483606,10-10-246-184-47-252-150-71_258_66.png
-0.033488903,10-10-246-184-47-252-150-71_258_96.png
-0.07745914,10-10-246-184-47-252-150-71_258_171.png
-0.08068625,10-10-246-184-47-252-150-71_9_60.png
-0.059383254,10-10-246-184-47-252-150-71_9_75.png
-0.05273063,10-10-246-184-47-252-150-71_9_120.png
-0.043583155,10-10-246-184-47-252-150-71_9_135.png
-0.02974933,10-10-246-184-47-252-150-71_126_47.png
-0.039692566,10-10-246-184-47-252-150-71_126_77.png
-0.06587606,10-10-246-184-47-252-150-71_126_122.png
-0.075982675,10-10-246-184-47-252-150-71_126_137.png
-0.102965094,10-10-246-184-47-252-150-71_18_62.png
-0.0587324,10-10-246-184-47-252-150-71_18_77.png
-0.048631437,10-10-246-184-47-252-150-71_18_122.png
-0.051329274,10-10-246-184-47-252-150-71_331_66.png
-0.04597578,10-10-246-184-47-252-150-71_331_96.png
-0.09897423,10-10-246-184-47-252-150-71_331_156.png
-0.06506632,10-10-246-184-47-252-150-71_63_66.png
-0.03115519,10-10-246-184-47-252-150-71_63_96.png
-0.026434619,10-10-246-184-47-252-150-71_63_141.png
-0.069418736,10-10-246-184-47-252-150-71_63_171.png
-0.053247277,10-10-246-184-47-252-150-71_274_66.png
-0.041992165,10-10-246-184-47-252-150-71_274_96.png
-0.07908825,10-10-246-184-47-252-150-71_274_171.png
-0.051950067,10-10-246-184-47-252-150-71_366_66.png
-0.045883965,10-10-246-184-47-252-150-71_366_96.png
-0.083111,10-10-246-184-47-252-150-71_366_156.png
-0.06002865,10-10-246-184-47-252-150-71_223_66.png
-0.03403062,10-10-246-184-47-252-150-71_223_96.png
-0.075499125,10-10-246-184-47-252-150-71_223_171.png
-0.061897255,10-10-246-184-47-252-150-71_34_66.png
-0.039891116,10-10-246-184-47-252-150-71_34_96.png
-0.10519858,10-10-246-184-47-252-150-71_34_171.png
-0.028453289,10-10-246-184-47-252-150-71_22_47.png
-0.05095462,10-10-246-184-47-252-150-71_22_77.png
-0.055060364,10-10-246-184-47-252-150-71_22_122.png
-0.10083539,10-10-246-184-47-252-150-71_22_137.png
-0.060955357,10-10-246-184-47-252-150-71_235_66.png
-0.034278166,10-10-246-184-47-252-150-71_235_96.png
-0.062930316,10-10-246-184-47-252-150-71_327_66.png
-0.040156372,10-10-246-184-47-252-150-71_327_96.png
-0.1091396,10-10-246-184-47-252-150-71_327_156.png
-0.10824152,10-10-246-184-47-252-150-71_327_171.png
-0.062831394,10-10-246-184-47-252-150-71_262_66.png
-0.036483303,10-10-246-184-47-252-150-71_262_96.png
-0.095309585,10-10-246-184-47-252-150-71_262_171.png
-0.05631996,10-10-246-184-47-252-150-71_75_66.png
-0.04621837,10-10-246-184-47-252-150-71_75_96.png
-0.086046204,10-10-246-184-47-252-150-71_75_156.png
-0.0550533,10-10-246-184-47-252-150-71_215_66.png
-0.036956754,10-10-246-184-47-252-150-71_215_96.png
-0.07658139,10-10-246-184-47-252-150-71_215_171.png
-0.06351961,10-10-246-184-47-252-150-71_350_66.png
-0.037961442,10-10-246-184-47-252-150-71_350_96.png
-0.099068806,10-10-246-184-47-252-150-71_350_171.png
-0.06094757,10-10-246-184-47-252-150-71_242_66.png
-0.036558278,10-10-246-184-47-252-150-71_242_96.png
-0.08726043,10-10-246-184-47-252-150-71_242_171.png
-0.05585214,10-10-246-184-47-252-150-71_55_66.png
-0.041705184,10-10-246-184-47-252-150-71_55_96.png
-0.10308516,10-10-246-184-47-252-150-71_55_156.png
-0.063938744,10-10-246-184-47-252-150-71_307_66.png
-0.034980915,10-10-246-184-47-252-150-71_307_96.png
-0.0881249,10-10-246-184-47-252-150-71_307_171.png
-0.04607672,10-10-246-184-47-252-150-71_184_63.png
-0.038727727,10-10-246-184-47-252-150-71_184_153.png
-0.06116003,10-10-246-184-47-252-150-71_43_66.png
-0.0381494,10-10-246-184-47-252-150-71_43_96.png
-0.083135664,10-10-246-184-47-252-150-71_43_171.png
-0.025318626,10-10-246-184-47-252-150-71_5_46.png
-0.05343074,10-10-246-184-47-252-150-71_5_76.png
-0.055663165,10-10-246-184-47-252-150-71_5_121.png
-0.096062265,10-10-246-184-47-252-150-71_5_136.png
-0.052797277,10-10-246-184-47-252-150-71_254_66.png
-0.044587284,10-10-246-184-47-252-150-71_254_96.png
-0.08922356,10-10-246-184-47-252-150-71_254_156.png
-0.0530923,10-10-246-184-47-252-150-71_311_66.png
-0.041726176,10-10-246-184-47-252-150-71_311_96.png
-0.09674738,10-10-246-184-47-252-150-71_311_171.png
-0.04851125,10-10-246-184-47-252-150-71_192_66.png
-0.045398045,10-10-246-184-47-252-150-71_192_96.png
-0.10125906,10-10-246-184-47-252-150-71_192_171.png
-0.06450135,10-10-246-184-47-252-150-71_203_66.png
-0.036752366,10-10-246-184-47-252-150-71_203_96.png
-0.08893192,10-10-246-184-47-252-150-71_203_171.png
-0.026107376,10-10-246-184-47-252-150-71_14_46.png
-0.048304815,10-10-246-184-47-252-150-71_14_76.png
-0.0623047,10-10-246-184-47-252-150-71_14_121.png
-0.074494086,10-10-246-184-47-252-150-71_14_136.png
-0.053580575,10-10-246-184-47-252-150-71_346_66.png
-0.044096585,10-10-246-184-47-252-150-71_346_96.png
-0.108358435,10-10-246-184-47-252-150-71_346_156.png
-0.108638994,10-10-246-184-47-252-150-71_346_171.png
-0.059894923,10-10-246-184-47-252-150-71_80_66.png
-0.041782383,10-10-246-184-47-252-150-71_80_96.png
-0.10681779,10-10-246-184-47-252-150-71_80_156.png
-0.10427299,10-10-246-184-47-252-150-71_80_171.png
-0.056859065,10-10-246-184-47-252-150-71_297_66.png
-0.039687123,10-10-246-184-47-252-150-71_297_96.png
-0.08963318,10-10-246-184-47-252-150-71_297_171.png
-0.06314331,10-10-246-184-47-252-150-71_278_66.png
-0.030959796,10-10-246-184-47-252-150-71_278_96.png
-0.07182859,10-10-246-184-47-252-150-71_278_171.png
-0.02804428,10-10-246-184-47-252-150-71_151_65.png
-0.1009264,10-10-246-184-47-252-150-71_151_80.png
